Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?,nps_score,nps_group,LOAN_ID,REPORTING_DATE,delta_days,ACCOUNT_STATUS,DAYS_PAST_DUE,ARREARS_PROXY,BALANCE,AGE_BAND,INCOME_BAND,GENDER
0QBj2B9,yA1DoX,2025-05-06 12:17:00,recjIN34SL5h8tPAK,10.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,,10.0,Promoter,recjIN34SL5h8tPAK,2025-03-30,37,current,0,0.0,22620.0,,"100,000–149,999",Male
0QBokVy,WbZMgk,2025-05-06 17:27:00,recWAkAXazxrEN1f0,1.0,,,No,No,Yes,Yes,"Delayed reflection of the device.
 My device has issues, customer service could not promise a solution",No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,"My gadget is spoiled on the screen. And the problem points out to fake screen, not mishandling",1.0,Detractor,recWAkAXazxrEN1f0,2025-03-30,37,current,0,130.0,61610.0,,"50,000–99,999",Male
0QDWkVA,5BBq2bP,2025-09-26 08:40:00,rechnPgKpUB5GPf03,5.0,,,Yes,No,No,No,My battery 🔋,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,5.0,Detractor,rechnPgKpUB5GPf03,2025-09-30,4,current,0,0.0,32300.0,,"10,000–19,999",Male
0QDWkVA,5BBq2bP,2025-09-26 08:40:00,rechnPgKpUB5GPf03,5.0,,,Yes,No,No,No,My battery 🔋,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,5.0,Detractor,rechnPgKpUB5GPf03,2025-09-30,4,current,0,0.0,32300.0,,"10,000–19,999",Male
0QDY1DA,D445PVX,2025-09-25 15:43:00,recjpCnabjV64gnkV,9.0,,,Yes,Yes,,,,,,,,,9.0,Promoter,recjpCnabjV64gnkV,2025-09-30,5,closed,0,0.0,0.0,,,
0QDzPx0,RGGL7Gv,2025-09-25 12:39:00,recbu9d06yUvwpIzx,10.0,,,Yes,Yes,No,No,,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,The app is good but it keeps hanging and logging me out everytime,10.0,Promoter,recbu9d06yUvwpIzx,2025-09-30,5,current,0,0.0,33600.0,,"20,000–29,999",Male
0QDzZWQ,Zjjl8oA,2025-09-25 13:11:00,recTNwLvEeEaa4TWb,5.0,,,Yes,Yes,No,No,Battery performance it deplets very fast,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Battery challenge,5.0,Detractor,recTNwLvEeEaa4TWb,2025-09-30,5,current,0,1500.0,72450.0,,,Male
0QDzZky,GxxLe8o,2025-09-25 13:10:00,recdKd30jliqr4gAc,5.0,,,No,No,No,No,6,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,5.0,Detractor,recdKd30jliqr4gAc,2025-09-30,5,current,0,0.0,38500.0,,"20,000–29,999",Male
0QDzjry,ODDL1LM,2025-09-25 12:54:00,recCSSteo0cN5azjj,8.0,,,Yes,Yes,No,No,No challenges yet,No,"No, I have never used it",Free SMS – 25044,No,Good company indeed,8.0,Passive,recCSSteo0cN5azjj,2025-09-30,5,closed,0,0.0,0.0,,,
0QGBedP,RAoJDP,2025-10-23 11:34:00,recOUPHCiVIsVialj,3.0,My is hunging,The payment process,,,,,,,,,,,3.0,Detractor,recOUPHCiVIsVialj,2025-09-30,23,current,0,0.0,28050.0,,"30,000–49,999",Female
0QGBedP,RAoJDP,2025-10-23 11:34:00,recOUPHCiVIsVialj,3.0,My is hunging,The payment process,,,,,,,,,,,3.0,Detractor,recOUPHCiVIsVialj,2025-09-30,23,current,0,0.0,28050.0,,"30,000–49,999",Female
0QGMdrQ,LZ9yJap,2025-10-24 14:50:00,rechTUd7fbC2FlrQl,5.0,I was given a refurbished phone,You need to sell new phones,,,,,,,,,,,5.0,Detractor,rechTUd7fbC2FlrQl,2025-09-30,24,current,0,0.0,11480.0,,"150,000 and above",
0QGMdrQ,LZ9yJap,2025-10-24 14:50:00,rechTUd7fbC2FlrQl,5.0,I was given a refurbished phone,You need to sell new phones,,,,,,,,,,,5.0,Detractor,rechTUd7fbC2FlrQl,2025-09-30,24,current,0,0.0,11480.0,,"150,000 and above",
0QGMdrQ,LZ9yJap,2025-10-24 14:50:00,rechTUd7fbC2FlrQl,5.0,I was given a refurbished phone,You need to sell new phones,,,,,,,,,,,5.0,Detractor,rechTUd7fbC2FlrQl,2025-09-30,24,current,0,0.0,11480.0,,"150,000 and above",
0QGx1z9,ODDMrWa,2025-10-24 09:24:00,recGg9hFpmcanvNzU,10.0,Good customer care,Everything is ok,,,,,,,,,,,10.0,Promoter,recGg9hFpmcanvNzU,2025-09-30,24,current,0,0.0,47430.0,,"10,000–19,999",Male
0QGx1z9,ODDMrWa,2025-10-24 09:24:00,recGg9hFpmcanvNzU,10.0,Good customer care,Everything is ok,,,,,,,,,,,10.0,Promoter,recGg9hFpmcanvNzU,2025-09-30,24,current,0,0.0,47430.0,,"10,000–19,999",Male
0QGx1z9,ODDMrWa,2025-10-24 09:24:00,recGg9hFpmcanvNzU,10.0,Good customer care,Everything is ok,,,,,,,,,,,10.0,Promoter,recGg9hFpmcanvNzU,2025-09-30,24,current,0,0.0,47430.0,,"10,000–19,999",Male
0QGxazy,pbrMVJb,2025-10-24 09:39:00,recxhhGwlHimgMoyI,4.0,You guys i complained about screen cracked as it was in my pocket en never gave the way forward,"Nothing, everything is good",,,,,,,,,,,4.0,Detractor,recxhhGwlHimgMoyI,2025-09-30,24,current,0,0.0,16900.0,,,Male
0QMD9kA,AElg0N,2025-07-08 20:15:00,recQVazmlsg1W5mQk,10.0,,,No,No,No,Yes,Having some unclear voices/ audio,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,N/a,10.0,Promoter,recQVazmlsg1W5mQk,2025-06-30,8,current,0,0.0,45200.0,,"30,000–49,999",Male
0QMD9kA,AElg0N,2025-07-08 20:15:00,recQVazmlsg1W5mQk,10.0,,,No,No,No,Yes,Having some unclear voices/ audio,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,N/a,10.0,Promoter,recQVazmlsg1W5mQk,2025-06-30,8,current,0,0.0,45200.0,,"30,000–49,999",Male
0QMD9kA,AElg0N,2025-07-08 20:15:00,recQVazmlsg1W5mQk,10.0,,,No,No,No,Yes,Having some unclear voices/ audio,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,N/a,10.0,Promoter,recQVazmlsg1W5mQk,2025-06-30,8,current,0,0.0,45200.0,,"30,000–49,999",Male
0QMD9kA,AElg0N,2025-07-08 20:15:00,recQVazmlsg1W5mQk,10.0,,,No,No,No,Yes,Having some unclear voices/ audio,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,N/a,10.0,Promoter,recQVazmlsg1W5mQk,2025-06-30,8,current,0,0.0,45200.0,,"30,000–49,999",Male
0QMJGXZ,O67L2M,2025-07-07 17:42:00,recltHige00jdOYOC,8.0,,,Yes,Yes,No,"No, I have never looked for customer care",I want to know my balance in case I pay all in 3 months,No,"No, I have never used it",Reach Out via a Sales Agent,No,,8.0,Passive,recltHige00jdOYOC,2025-06-30,7,current,0,1120.0,48160.0,,"50,000–99,999",Male
0QMJGXZ,O67L2M,2025-07-07 17:42:00,recltHige00jdOYOC,8.0,,,Yes,Yes,No,"No, I have never looked for customer care",I want to know my balance in case I pay all in 3 months,No,"No, I have never used it",Reach Out via a Sales Agent,No,,8.0,Passive,recltHige00jdOYOC,2025-06-30,7,current,0,1120.0,48160.0,,"50,000–99,999",Male
0QMJV09,K9xX8K,2025-07-07 16:05:00,recLrHBaNn3hHU853,7.0,,,,,,,,,,,,,7.0,Passive,recLrHBaNn3hHU853,2025-06-30,7,current,0,0.0,47520.0,,"5,000–9,999",Male
0QMJV09,K9xX8K,2025-07-07 16:05:00,recLrHBaNn3hHU853,7.0,,,,,,,,,,,,,7.0,Passive,recLrHBaNn3hHU853,2025-06-30,7,current,0,0.0,47520.0,,"5,000–9,999",Male
0QMJp2P,RADgEQ,2025-07-07 18:46:00,recjohRZ1kjIbMtBt,,,,,No,,,,,,,,,,Unknown,recjohRZ1kjIbMtBt,2025-06-30,7,current,0,0.0,21930.0,,"150,000 and above",Male
0QMJp2P,RADgEQ,2025-07-07 18:46:00,recjohRZ1kjIbMtBt,,,,,No,,,,,,,,,,Unknown,recjohRZ1kjIbMtBt,2025-06-30,7,current,0,0.0,21930.0,,"150,000 and above",Male
0QMv5LZ,QbREAk,2025-07-07 14:51:00,recaLxFyWJQM8tram,7.0,,,Yes,Yes,No,Yes,good,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,no,7.0,Passive,recaLxFyWJQM8tram,2025-06-30,7,current,0,0.0,42570.0,,"5,000–9,999",Male
0QMv5LZ,QbREAk,2025-07-07 14:51:00,recaLxFyWJQM8tram,7.0,,,Yes,Yes,No,Yes,good,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,no,7.0,Passive,recaLxFyWJQM8tram,2025-06-30,7,current,0,0.0,42570.0,,"5,000–9,999",Male
0QMv5LZ,QbREAk,2025-07-07 14:51:00,recaLxFyWJQM8tram,7.0,,,Yes,Yes,No,Yes,good,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,no,7.0,Passive,recaLxFyWJQM8tram,2025-06-30,7,current,0,0.0,42570.0,,"5,000–9,999",Male
0QMv5LZ,QbREAk,2025-07-07 14:51:00,recaLxFyWJQM8tram,7.0,,,Yes,Yes,No,Yes,good,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,no,7.0,Passive,recaLxFyWJQM8tram,2025-06-30,7,current,0,0.0,42570.0,,"5,000–9,999",Male
0QMv5LZ,QbREAk,2025-07-07 14:51:00,recaLxFyWJQM8tram,7.0,,,Yes,Yes,No,Yes,good,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,no,7.0,Passive,recaLxFyWJQM8tram,2025-06-30,7,current,0,0.0,42570.0,,"5,000–9,999",Male
0QMv5LZ,QbREAk,2025-07-07 14:51:00,recaLxFyWJQM8tram,7.0,,,Yes,Yes,No,Yes,good,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,no,7.0,Passive,recaLxFyWJQM8tram,2025-06-30,7,current,0,0.0,42570.0,,"5,000–9,999",Male
0QMvL1j,oqRd6M,2025-07-07 13:55:00,rectcU0wUQ8yxrcB2,5.0,,,No,Yes,Yes,Yes,,,,,,,5.0,Detractor,rectcU0wUQ8yxrcB2,2025-06-30,7,current,0,900.0,52020.0,,"5,000–9,999",Male
0QMvMd9,xLRKb9,2025-07-07 13:47:00,recuooLvPRmwdPJYU,10.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Mophones are the best i got my dream phone,10.0,Promoter,recuooLvPRmwdPJYU,2025-06-30,7,current,0,1220.0,45140.0,,"50,000–99,999",Male
0QMvW1A,MWalJX,2025-07-07 15:23:00,recu5HkRrHg4kkd5O,,,,Yes,Yes,,,,,,,,,,Unknown,recu5HkRrHg4kkd5O,2025-06-30,7,arrears,10,0.0,34320.0,,"150,000 and above",Male
0QMvg50,2pAZ8g,2025-07-07 15:01:00,recxrua1mwmyckGx5,10.0,,,Yes,Yes,No,Yes,Phone unlocking delays.,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,10.0,Promoter,recxrua1mwmyckGx5,2025-06-30,7,current,0,0.0,47880.0,,"150,000 and above",Male
0QMvg50,2pAZ8g,2025-07-07 15:01:00,recxrua1mwmyckGx5,10.0,,,Yes,Yes,No,Yes,Phone unlocking delays.,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,10.0,Promoter,recxrua1mwmyckGx5,2025-06-30,7,current,0,0.0,47880.0,,"150,000 and above",Male
0QMvg50,2pAZ8g,2025-07-07 15:01:00,recxrua1mwmyckGx5,10.0,,,Yes,Yes,No,Yes,Phone unlocking delays.,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,10.0,Promoter,recxrua1mwmyckGx5,2025-06-30,7,current,0,0.0,47880.0,,"150,000 and above",Male
0QMvg50,2pAZ8g,2025-07-07 15:01:00,recxrua1mwmyckGx5,10.0,,,Yes,Yes,No,Yes,Phone unlocking delays.,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,10.0,Promoter,recxrua1mwmyckGx5,2025-06-30,7,current,0,0.0,47880.0,,"150,000 and above",Male
0QMvg50,2pAZ8g,2025-07-07 15:01:00,recxrua1mwmyckGx5,10.0,,,Yes,Yes,No,Yes,Phone unlocking delays.,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,10.0,Promoter,recxrua1mwmyckGx5,2025-06-30,7,current,0,0.0,47880.0,,"150,000 and above",Male
0QMvg50,2pAZ8g,2025-07-07 15:01:00,recxrua1mwmyckGx5,10.0,,,Yes,Yes,No,Yes,Phone unlocking delays.,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,10.0,Promoter,recxrua1mwmyckGx5,2025-06-30,7,current,0,0.0,47880.0,,"150,000 and above",Male
0QMvga6,K9xObk,2025-07-07 15:00:00,rect1wodCvEoCoo04,8.0,,,Yes,Yes,Yes,"No, I have never looked for customer care",No,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,No,8.0,Passive,rect1wodCvEoCoo04,2025-06-30,7,current,0,0.0,52000.0,,"50,000–99,999",Male
0QMvga6,K9xObk,2025-07-07 15:00:00,rect1wodCvEoCoo04,8.0,,,Yes,Yes,Yes,"No, I have never looked for customer care",No,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,No,8.0,Passive,rect1wodCvEoCoo04,2025-06-30,7,current,0,0.0,52000.0,,"50,000–99,999",Male
0QMvxO0,MWaAQE,2025-07-07 13:40:00,recycdkzN0FSd0tiq,8.0,,,Yes,Yes,No,No,No challenges from my end,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,My battery lifespan looks weak,8.0,Passive,recycdkzN0FSd0tiq,2025-06-30,7,arrears,1,0.0,65190.0,,"150,000 and above",
0QO7AYQ,ZrzDEo,2025-05-28 16:09:00,recHpSTKruLZylEJJ,10.0,,,Yes,Yes,,,,,,,,,10.0,Promoter,recHpSTKruLZylEJJ,2025-06-30,33,default,379,0.0,29350.0,,,
0QODBNP,WVg46j,2025-06-01 12:14:00,rec5ytJsv2fVRaUw0,1.0,,,No,,,,,,,,,,1.0,Detractor,rec5ytJsv2fVRaUw0,2025-06-30,29,arrears,53,0.0,46180.0,,"50,000–99,999",
0QPNo1Q,ORzlva,2025-07-22 17:57:00,recNCsJ6IVS8mtNoT,7.0,,,Yes,Yes,No,No,Yes the only challenge is that you have restricted alot of apps so if someone try tu download it doesn't even install,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Its fine,7.0,Passive,recNCsJ6IVS8mtNoT,2025-09-30,70,arrears,17,0.0,59530.0,,"10,000–19,999",Male
0QPNo1Q,ORzlva,2025-07-22 17:57:00,recNCsJ6IVS8mtNoT,7.0,,,Yes,Yes,No,No,Yes the only challenge is that you have restricted alot of apps so if someone try tu download it doesn't even install,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Its fine,7.0,Passive,recNCsJ6IVS8mtNoT,2025-09-30,70,arrears,17,0.0,59530.0,,"10,000–19,999",Male
0QPNo1Q,ORzlva,2025-07-22 17:57:00,recNCsJ6IVS8mtNoT,7.0,,,Yes,Yes,No,No,Yes the only challenge is that you have restricted alot of apps so if someone try tu download it doesn't even install,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Its fine,7.0,Passive,recNCsJ6IVS8mtNoT,2025-09-30,70,arrears,17,0.0,59530.0,,"10,000–19,999",Male
0QPNo1Q,ORzlva,2025-07-22 17:57:00,recNCsJ6IVS8mtNoT,7.0,,,Yes,Yes,No,No,Yes the only challenge is that you have restricted alot of apps so if someone try tu download it doesn't even install,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Its fine,7.0,Passive,recNCsJ6IVS8mtNoT,2025-09-30,70,arrears,17,0.0,59530.0,,"10,000–19,999",Male
0QPXbZ0,gBMQyl,2025-07-22 14:07:00,rec33v8NYHTqY2BcI,0.0,,,No,Yes,No,No,Battery life is poor,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No,0.0,Detractor,rec33v8NYHTqY2BcI,2025-06-30,22,current,0,20.0,47360.0,,"100,000–149,999",Male
0QPXbZ0,gBMQyl,2025-07-22 14:07:00,rec33v8NYHTqY2BcI,0.0,,,No,Yes,No,No,Battery life is poor,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No,0.0,Detractor,rec33v8NYHTqY2BcI,2025-06-30,22,current,0,20.0,47360.0,,"100,000–149,999",Male
0QPXgqy,qyApd5,2025-07-22 15:09:00,recJVpffWbsG4MSCp,10.0,,,Yes,Yes,No,No,How can i confirm my balance,,,,,,10.0,Promoter,recJVpffWbsG4MSCp,2025-09-30,70,current,0,1595.0,57605.0,,"30,000–49,999",Female
0QPXvXB,oJMVGx,2025-07-22 13:56:00,recpRQ5ncxrYBmO1s,10.0,,,Yes,Yes,No,No,Have no challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,,10.0,Promoter,recpRQ5ncxrYBmO1s,2025-12-30,161,current,0,3430.0,58220.0,,"20,000–29,999",Male
0QPXvXB,oJMVGx,2025-07-22 13:56:00,recpRQ5ncxrYBmO1s,10.0,,,Yes,Yes,No,No,Have no challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,,10.0,Promoter,recpRQ5ncxrYBmO1s,2025-12-30,161,current,0,3430.0,58220.0,,"20,000–29,999",Male
0QPXvXB,oJMVGx,2025-07-22 13:56:00,recpRQ5ncxrYBmO1s,10.0,,,Yes,Yes,No,No,Have no challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,,10.0,Promoter,recpRQ5ncxrYBmO1s,2025-12-30,161,current,0,3430.0,58220.0,,"20,000–29,999",Male
0QPXzbN,4Mdzro,2025-07-22 15:17:00,recDmEIK3o8zadP19,8.0,,,Yes,Yes,No,Yes,My phone had issue with s pen where by is not connecting after visiting the service centre nothing can be done just bacause the phone is not new,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,Why is that nothing can be done to my s pen yet am paying the phone even if the phone is not new everything should be working well,8.0,Passive,recDmEIK3o8zadP19,2025-09-30,70,current,0,2120.0,36760.0,,"20,000–29,999",Male
0QPXzbN,4Mdzro,2025-07-22 15:17:00,recDmEIK3o8zadP19,8.0,,,Yes,Yes,No,Yes,My phone had issue with s pen where by is not connecting after visiting the service centre nothing can be done just bacause the phone is not new,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,Why is that nothing can be done to my s pen yet am paying the phone even if the phone is not new everything should be working well,8.0,Passive,recDmEIK3o8zadP19,2025-09-30,70,current,0,2120.0,36760.0,,"20,000–29,999",Male
0QPXzbN,4Mdzro,2025-07-22 15:17:00,recDmEIK3o8zadP19,8.0,,,Yes,Yes,No,Yes,My phone had issue with s pen where by is not connecting after visiting the service centre nothing can be done just bacause the phone is not new,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,Why is that nothing can be done to my s pen yet am paying the phone even if the phone is not new everything should be working well,8.0,Passive,recDmEIK3o8zadP19,2025-09-30,70,current,0,2120.0,36760.0,,"20,000–29,999",Male
0QPXzbN,4Mdzro,2025-07-22 15:17:00,recDmEIK3o8zadP19,8.0,,,Yes,Yes,No,Yes,My phone had issue with s pen where by is not connecting after visiting the service centre nothing can be done just bacause the phone is not new,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,Why is that nothing can be done to my s pen yet am paying the phone even if the phone is not new everything should be working well,8.0,Passive,recDmEIK3o8zadP19,2025-09-30,70,current,0,2120.0,36760.0,,"20,000–29,999",Male
0QYXkAj,yPJ541g,2025-12-20 14:43:00,rectsyJiD9Ny1erbT,10.0,You’re right,Please unlock my phone because I have paid,,,,,,,,,,,10.0,Promoter,rectsyJiD9Ny1erbT,2025-12-30,10,current,0,560.0,13300.0,,"30,000–49,999",Male
0QYXkAj,yPJ541g,2025-12-20 14:43:00,rectsyJiD9Ny1erbT,10.0,You’re right,Please unlock my phone because I have paid,,,,,,,,,,,10.0,Promoter,rectsyJiD9Ny1erbT,2025-12-30,10,current,0,560.0,13300.0,,"30,000–49,999",Male
0QYzprA,MeKxOYp,2025-12-18 16:54:00,recpNEi9KXY4y4fHB,5.0,Durability,Make sure your gadgets are well before giving to clients,,,,,,,,,,,5.0,Detractor,recpNEi9KXY4y4fHB,2025-12-30,12,current,0,0.0,30940.0,,"10,000–19,999",Male
0QZ40oN,D4266kl,2025-09-19 14:08:00,recSJUkssAnKhdplp,5.0,,,Yes,No,No,"No, I have never looked for customer care",Give alerts for due dates,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,5.0,Detractor,recSJUkssAnKhdplp,2025-09-30,11,current,0,5000.0,46840.0,,"100,000–149,999",Male
0QZ45B9,kdaBXjo,2025-09-19 13:46:00,rec3ZrgTHmAsrtCcR,7.0,,,Yes,Yes,No,No,"There's no any challenges I faced 
 I'm ok. Thank you",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I'm ok,7.0,Passive,rec3ZrgTHmAsrtCcR,2025-09-30,11,current,0,0.0,32430.0,,"20,000–29,999",Male
0Qb7Azy,BPZ4jR,2025-08-19 16:04:00,recLaYDlsJMmtwAF1,10.0,,,Yes,Yes,,,,,,,,,10.0,Promoter,recLaYDlsJMmtwAF1,2025-09-30,42,closed,0,0.0,0.0,,"10,000–19,999",Female
0Qb7Azy,BPZ4jR,2025-08-19 16:04:00,recLaYDlsJMmtwAF1,10.0,,,Yes,Yes,,,,,,,,,10.0,Promoter,recLaYDlsJMmtwAF1,2025-09-30,42,closed,0,0.0,0.0,,"10,000–19,999",Female
0Qb7Azy,BPZ4jR,2025-08-19 16:04:00,recLaYDlsJMmtwAF1,10.0,,,Yes,Yes,,,,,,,,,10.0,Promoter,recLaYDlsJMmtwAF1,2025-09-30,42,closed,0,0.0,0.0,,"10,000–19,999",Female
